序号,文本内容/问卷得分,标签,备注
55,课程太多了，每天都忙不过来，有点累,轻度焦虑,仿写大学生日常
56,对未来没有任何期待，只想逃避现实,中度抑郁,仿写大学生日常
57,最近在准备教师资格证考试，虽然辛苦但很充实,正常,仿写大学生日常
58,小组作业里队友划水，自己一个人扛着，有点烦躁,轻度焦虑,仿写大学生日常
59,觉得自己很失败，什么都比不上别人,中度抑郁,仿写大学生日常
60,周末去看了演唱会，现场氛围超棒，很开心,正常,仿写大学生日常
61,考研的压力越来越大，有点怕坚持不下去,轻度焦虑,仿写大学生日常
62,不想和任何人交流，也不想解释什么,中度抑郁,仿写大学生日常
63,今天拿到了比赛的获奖证书，很有成就感,正常,仿写大学生日常
64,期末考的科目太多，复习不过来，有点焦虑,轻度焦虑,仿写大学生日常
65,经常觉得很累，不想动，也不想思考,中度抑郁,仿写大学生日常
66,和室友一起打扫了宿舍，整理完之后心情很舒服,正常,仿写大学生日常
67,找工作的事情很不顺利，有点迷茫,轻度焦虑,仿写大学生日常
68,觉得生活没有意义，做什么都提不起劲,中度抑郁,仿写大学生日常
69,最近在学画画，虽然画得不好但很解压,正常,仿写大学生日常
70,马上要做毕业设计了，还没确定题目，有点慌,轻度焦虑,仿写大学生日常
71,晚上总是睡不着，一闭眼就胡思乱想,中度抑郁,仿写大学生日常
72,今天和朋友一起打了游戏，赢了好几局，很开心,正常,仿写大学生日常
73,英语四级没过，影响评优，有点郁闷,轻度焦虑,仿写大学生日常
74,觉得自己很自卑，不敢和别人说话,中度抑郁,仿写大学生日常
75,SCL-90总分：130分，无明显异常,正常,模拟量表数据
76,SCL-90总分：170分，人际敏感因子偏高,轻度焦虑,模拟量表数据
77,不想去上课，觉得学了也没用,中度抑郁,仿写大学生日常
78,最近在健身，每天运动完都觉得很放松,正常,仿写大学生日常
79,课程作业太多，每天都要熬夜，有点吃不消,轻度焦虑,仿写大学生日常
80,觉得自己很没用，对不起父母的期望,中度抑郁,仿写大学生日常
81,今天和家人一起视频，分享了学校的趣事，很开心,正常,仿写大学生日常
82,马上要考计算机二级了，题库还没刷完，有点紧张,轻度焦虑,仿写大学生日常
83,对以前喜欢的事情都失去了兴趣，觉得什么都无所谓,中度抑郁,仿写大学生日常
84,最近参加了志愿者活动，帮助了别人，很有意义,正常,仿写大学生日常
85,找实习的简历改了很多次，还是没回应，有点焦虑,轻度焦虑,仿写大学生日常
86,觉得自己很孤独，没有可以倾诉的人,中度抑郁,仿写大学生日常
87,今天拿到了课程论文的高分，很开心,正常,仿写大学生日常
88,期末复习压力很大，有点烦躁，容易发脾气,轻度焦虑,仿写大学生日常
89,情绪总是很低落，不知道自己该怎么办,中度抑郁,仿写大学生日常
90,和朋友一起去吃了火锅，聊了很多心事，很放松,正常,仿写大学生日常
91,考研的复习进度很慢，有点担心考不上,轻度焦虑,仿写大学生日常
92,不想出门，不想见人，只想待在宿舍,中度抑郁,仿写大学生日常
93,最近在学吉他，虽然难但很有成就感,正常,仿写大学生日常
94,小组作业的分工不明确，沟通起来很麻烦，有点烦躁,轻度焦虑,仿写大学生日常
95,觉得自己很失败，做什么都做不好,中度抑郁,仿写大学生日常
96,今天天气很好，一个人去操场散步，心情很平静,正常,仿写大学生日常
97,英语六级的听力总是练不好，有点挫败,轻度焦虑,仿写大学生日常
98,觉得未来一片黑暗，看不到希望,重度抑郁,仿写大学生日常
99,最近在准备普通话考试，练习了很多次，很有信心,正常,仿写大学生日常
100,马上要交课程设计了，还没做完，有点慌,轻度焦虑,仿写大学生日常
101,晚上经常失眠，白天上课没精神，注意力不集中,中度抑郁,仿写大学生日常
102,和室友一起去逛了超市，买了很多零食，很开心,正常,仿写大学生日常
103,找工作的事情很迷茫，不知道自己该找什么方向,轻度焦虑,仿写大学生日常
104,不想和任何人说话，也不想理别人,中度抑郁,仿写大学生日常
105,今天做的实验数据很成功，得到了老师的表扬,正常,仿写大学生日常
106,期末考的压力很大，有点怕挂科,轻度焦虑,仿写大学生日常
107,觉得自己很没用，活着没有价值,重度抑郁,仿写大学生日常
108,最近在学摄影，拍了很多好看的照片，很开心,正常,仿写大学生日常
109,马上要做课程汇报了，怕自己讲不好，有点紧张,轻度焦虑,仿写大学生日常
110,情绪总是很低落，开心不起来，也不知道为什么,中度抑郁,仿写大学生日常
111,和朋友一起去看了电影，剧情很治愈，心情好多了,正常,仿写大学生日常
112,考研的压力越来越大，有点焦虑，睡不好觉,轻度焦虑,仿写大学生日常
113,对所有事情都失去了兴趣，只想躺着,中度抑郁,仿写大学生日常
114,今天拿到了奖学金，很开心，打算给爸妈买礼物,正常,仿写大学生日常
115,实习的工作很难，有点跟不上节奏，有点挫败,轻度焦虑,仿写大学生日常
116,觉得自己很孤独，没有人真正理解自己,中度抑郁,仿写大学生日常
117,最近在准备教师资格证面试，练习了很多次，很有信心,正常,仿写大学生日常
118,课程太多，作业太多，每天都忙不过来，有点累,轻度焦虑,仿写大学生日常
119,不想去上课，也不想和同学交流,中度抑郁,仿写大学生日常
120,周末和朋友一起去爬山，虽然累但很解压,正常,仿写大学生日常
121,找工作的面试总是失败，有点怀疑自己的能力,轻度焦虑,仿写大学生日常
122,觉得生活没有意义，做什么都提不起劲,中度抑郁,仿写大学生日常
123,今天和导师沟通了毕业设计，得到了很多指导，很开心,正常,仿写大学生日常
124,英语四级没过，有点郁闷，怕影响毕业,轻度焦虑,仿写大学生日常
125,晚上经常会哭，觉得自己很委屈,中度抑郁,仿写大学生日常
126,和室友一起去吃了烧烤，聊了很多，很放松,正常,仿写大学生日常
127,考研的复习状态不好，有点焦虑，怕考不上,轻度焦虑,仿写大学生日常
128,不想出门，不想见人，也不想吃饭,中度抑郁,仿写大学生日常
129,最近在学编程，虽然难但很有收获,正常,仿写大学生日常
130,马上要交实习报告了，还没写完，有点慌,轻度焦虑,仿写大学生日常
131,觉得自己很自卑，不敢表达自己的想法,中度抑郁,仿写大学生日常
132,今天和家人视频了，他们都很关心我，很温暖,正常,仿写大学生日常
133,期末复习的压力很大，有点烦躁，容易发脾气,轻度焦虑,仿写大学生日常
134,觉得自己很失败，对不起父母的期望,中度抑郁,仿写大学生日常
135,和朋友一起去逛了书店，买了几本喜欢的书，很开心,正常,仿写大学生日常
136,找实习的简历投了很多，都没回应，有点焦虑,轻度焦虑,仿写大学生日常
137,对未来没有任何期待，只想逃避现实,中度抑郁,仿写大学生日常
138,最近在参加一个线上学习营，和大家一起打卡，很有动力,正常,仿写大学生日常
139,课程设计的题目很难，有点做不出来，有点慌,轻度焦虑,仿写大学生日常
140,觉得自己很没用，什么事情都做不好,中度抑郁,仿写大学生日常
141,今天天气很好，和朋友一起去公园野餐，很开心,正常,仿写大学生日常
142,英语六级的单词背了又忘，有点挫败,轻度焦虑,仿写大学生日常
143,觉得活着没什么意思，看不到未来的希望,重度抑郁,仿写大学生日常
144,最近在准备计算机三级考试，练习了很多题，很有信心,正常,仿写大学生日常
145,小组作业里队友不配合，自己一个人扛着，有点烦躁,轻度焦虑,仿写大学生日常
146,不想和任何人交流，也不想解释什么,中度抑郁,仿写大学生日常
147,今天拿到了比赛的优秀奖，虽然不是最高但很开心,正常,仿写大学生日常
148,期末考的科目太难，有点怕考不过,轻度焦虑,仿写大学生日常
149,情绪总是很低落，不知道自己该怎么办,中度抑郁,仿写大学生日常
150,和室友一起整理了衣柜，清理了很多没用的东西，很解压,正常,仿写大学生日常
151,考研的压力很大，有点焦虑，睡不好觉,轻度焦虑,仿写大学生日常
152,不想去上课，觉得学了也没用,中度抑郁,仿写大学生日常
153,最近在学摄影，拍了很多校园的风景，很有成就感,正常,仿写大学生日常
154,马上要做课程论文的答辩了，有点紧张,轻度焦虑,仿写大学生日常
155,觉得自己很孤独，没有可以倾诉的人,中度抑郁,仿写大学生日常
156,今天和家人一起视频，分享了学校的生活，很温暖,正常,仿写大学生日常
157,找工作的事情很迷茫，不知道自己适合什么,轻度焦虑,仿写大学生日常
158,觉得生活没有意义，做什么都提不起劲,中度抑郁,仿写大学生日常
159,最近在参加志愿者活动，帮助了很多人，很有意义,正常,仿写大学生日常
160,课程作业太多，每天都要熬夜，有点吃不消,轻度焦虑,仿写大学生日常
161,对以前喜欢的事情都失去了兴趣，觉得什么都无所谓,中度抑郁,仿写大学生日常
162,今天拿到了课程的平时分，很高，很开心,正常,仿写大学生日常
163,考研的复习进度很慢，有点担心考不上,轻度焦虑,仿写大学生日常
164,不想出门，不想见人，只想待在宿舍,中度抑郁,仿写大学生日常
165,和朋友一起去看了演唱会，现场氛围超棒，很开心,正常,仿写大学生日常
166,英语四级考了好几次都没过，有点挫败,轻度焦虑,仿写大学生日常
167,觉得自己很自卑，不敢和别人说话,中度抑郁,仿写大学生日常
168,最近在学画画，虽然画得不好但很解压,正常,仿写大学生日常
169,马上要交毕业设计的初稿了，还没写完，有点慌,轻度焦虑,仿写大学生日常
170,晚上总是睡不着，一闭眼就胡思乱想,中度抑郁,仿写大学生日常
171,今天和朋友一起打了游戏，赢了，很开心,正常,仿写大学生日常
172,期末复习的压力很大，有点烦躁，容易发脾气,轻度焦虑,仿写大学生日常
173,觉得自己很失败，做什么都做不好,中度抑郁,仿写大学生日常
174,和室友一起去吃了火锅，聊了很多，很放松,正常,仿写大学生日常
175,找实习的面试总是失败，有点怀疑自己的能力,轻度焦虑,仿写大学生日常
176,觉得未来一片黑暗，看不到希望,重度抑郁,仿写大学生日常
177,最近在准备普通话考试，练习了很多次，很有信心,正常,仿写大学生日常
178,小组作业的沟通不顺畅，有点烦躁,轻度焦虑,仿写大学生日常
179,不想和任何人说话，也不想理别人,中度抑郁,仿写大学生日常
180,今天做的实验很成功，得到了老师的表扬，很开心,正常,仿写大学生日常
181,英语六级的听力总是练不好，有点挫败,轻度焦虑,仿写大学生日常
182,觉得自己很没用，活着没有价值,重度抑郁,仿写大学生日常
183,最近在学吉他，虽然难但很有成就感,正常,仿写大学生日常
184,马上要做课程汇报了，怕自己讲不好，有点紧张,轻度焦虑,仿写大学生日常
185,情绪总是很低落，开心不起来,中度抑郁,仿写大学生日常
186,和朋友一起去逛了超市，买了很多零食，很开心,正常,仿写大学生日常
187,考研的压力越来越大，有点焦虑,轻度焦虑,仿写大学生日常
188,对所有事情都失去了兴趣，只想躺着,中度抑郁,仿写大学生日常
189,今天拿到了奖学金，打算请室友喝奶茶，很开心,正常,仿写大学生日常
190,实习的工作很难，有点跟不上节奏，有点挫败,轻度焦虑,仿写大学生日常
191,觉得自己很孤独，没有人真正理解自己,中度抑郁,仿写大学生日常
192,最近在准备教师资格证考试，很有信心,正常,仿写大学生日常
193,课程太多，作业太多，每天都忙不过来，有点累,轻度焦虑,仿写大学生日常
194,不想去上课，也不想和同学交流,中度抑郁,仿写大学生日常
195,周末和朋友一起去爬山，虽然累但很解压,正常,仿写大学生日常
196,找工作的事情很迷茫，不知道自己该找什么方向,轻度焦虑,仿写大学生日常
197,觉得生活没有意义，做什么都提不起劲,中度抑郁,仿写大学生日常
198,今天和导师沟通了毕业设计，得到了很多指导，很开心,正常,仿写大学生日常
199,英语四级没过，有点郁闷，怕影响毕业,轻度焦虑,仿写大学生日常
200,晚上经常会哭，觉得自己很委屈,中度抑郁,仿写大学生日常
